dataset,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,interpretability,sparsity,training_time
saddle_3d,hhcart,7,0.855,0.5788675429726997,0.6498297389330306,0.6122994652406418,51,52,3.0,0.0,0.06299996376037598
barbell_3d,randcart,7,0.9326,0.6879432624113475,0.8056478405315615,0.7421576128538638,57,58,3.0,0.0,0.028040170669555664
radial_segment_3d,randcart,7,0.9169,0.804807293825114,0.843614248479583,0.8237539766702014,86,87,3.0,0.0,0.035515785217285156
saddle_3d,randcart,7,0.9128,0.7290192113245703,0.8110236220472441,0.7678381256656017,83,84,3.0,0.0,0.030757665634155273
barbell_3d,oc1,7,0.9445,0.8368794326241135,0.7840531561461794,0.809605488850772,14,15,3.0,0.11904761904761904,171.16951513290405
radial_segment_3d,oc1,7,0.9329,0.8694571073352673,0.8549307253463733,0.8621327306348879,32,33,3.0,0.17708333333333334,255.91907215118408
saddle_3d,oc1,7,0.9075,0.7896865520728008,0.7542250120714631,0.7715485305013584,34,35,3.0,0.16666666666666666,209.79242086410522
barbell_3d,wodt,7,0.6936,0.3524822695035461,0.18768882175226587,0.2449482503696402,24,25,3.0,0.0,0.7955687046051025
radial_segment_3d,wodt,7,0.6369,0.41027766266058846,0.30956848030018763,0.35287827481732315,36,37,3.0,0.0,0.8504233360290527
saddle_3d,wodt,7,0.6493,0.6926188068756319,0.3209182478332162,0.43861053305586684,34,35,3.0,0.0,0.7611532211303711
