dataset,data_dim,seed,algorithm,depth,splits,leaves,accuracy,coverage,density,f_score,training_time,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score
barbell_2d,2,11,oc1,4,6,7,0.9296,0.9326805385556916,0.7195467422096318,0.8123667377398721,44.55831718444824,2.0,1.0,0.0,
barbell_2d,2,11,wodt,4,6,7,0.8366,0.0,,,0.2420423030853271,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,5,7,8,0.843,0.1505507955936352,0.5747663551401869,0.2386032977691561,0.018585205078125,2.0,1.0,0.0,
barbell_2d,2,11,randcart,5,17,18,0.9152,0.8274173806609547,0.7049009384775808,0.7612612612612611,0.0112855434417724,2.0,1.0,0.0,
barbell_2d,2,11,oc1,5,8,9,0.9302,0.9155446756425948,0.7276264591439688,0.810840108401084,45.897521018981934,2.0,1.0,0.0,
barbell_2d,2,11,wodt,5,6,7,0.8918,0.9951040391676866,0.6022222222222222,0.7503461005999077,0.1779987812042236,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,6,9,10,0.8468,0.1505507955936352,0.6307692307692307,0.2430830039525691,0.0215182304382324,2.0,1.0,0.0,
barbell_2d,2,11,randcart,6,36,37,0.942,0.7858017135862914,0.8480845442536328,0.8157560355781449,0.0189218521118164,2.0,1.0,0.0,
barbell_2d,2,11,oc1,6,11,12,0.9516,0.7882496940024479,0.9032258064516128,0.841830065359477,46.467912435531616,2.0,1.0,0.0,
barbell_2d,2,11,wodt,6,7,8,0.8126,0.3880048959608323,0.4204244031830239,0.403564608529599,0.206827163696289,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,7,10,11,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0237536430358886,2.0,1.0,0.0,
barbell_2d,2,11,randcart,7,50,51,0.963,0.9118727050183598,0.8682983682983683,0.8895522388059701,0.0232496261596679,2.0,1.0,0.0,
barbell_2d,2,11,oc1,7,15,16,0.9646,0.8482252141982864,0.9289544235924933,0.8867562380038388,46.81586599349976,2.0,1.0,0.0,
barbell_2d,2,11,wodt,7,17,18,0.8378,0.9155446756425948,0.5020134228187919,0.6484612050281752,0.2846930027008056,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,8,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0248973369598388,2.0,1.0,0.0,
barbell_2d,2,11,randcart,8,81,82,0.9764,0.9008567931456548,0.9521345407503234,0.9257861635220126,0.0336325168609619,2.0,1.0,0.0,
barbell_2d,2,11,oc1,8,20,21,0.9708,0.8445532435740514,0.9732016925246828,0.9043250327653998,46.932745695114136,2.0,1.0,0.0,
barbell_2d,2,11,wodt,8,9,10,0.879,0.4112607099143207,0.7304347826086957,0.5262333594361785,0.2892751693725586,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,9,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0256605148315429,2.0,1.0,0.0,
barbell_2d,2,11,randcart,9,99,100,0.9822,0.9473684210526316,0.9439024390243902,0.9456322541233964,0.0379230976104736,2.0,1.0,0.0,
barbell_2d,2,11,oc1,9,25,26,0.9772,0.9216646266829864,0.937733499377335,0.9296296296296296,47.19860124588013,2.0,1.0,0.0,
barbell_2d,2,11,wodt,9,28,29,0.9444,0.8678090575275398,0.8065984072810012,0.8360849056603774,0.340630292892456,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,10,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0258865356445312,2.0,1.0,0.0,
barbell_2d,2,11,randcart,10,132,133,0.9898,0.9681762545899631,0.9693627450980392,0.9687691365584812,0.0481293201446533,2.0,1.0,0.0,
barbell_2d,2,11,oc1,10,31,32,0.9798,0.9143206854345164,0.9601542416452442,0.9366771159874608,47.04884648323059,2.0,1.0,0.0,
barbell_2d,2,11,wodt,10,27,28,0.9574,0.8580171358629131,0.8784461152882206,0.8681114551083591,0.3841879367828369,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,11,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0253651142120361,2.0,1.0,0.0,
barbell_2d,2,11,randcart,11,152,153,0.9898,0.9571603427172584,0.9799498746867168,0.968421052631579,0.0598049163818359,2.0,1.0,0.0,
barbell_2d,2,11,oc1,11,36,37,0.9848,0.9375764993880048,0.968394437420986,0.9527363184079602,47.06484794616699,2.0,1.0,0.0,
barbell_2d,2,11,wodt,11,54,55,0.914,0.9547123623011016,0.6649616368286445,0.7839195979899497,0.4992997646331787,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,12,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0255534648895263,2.0,1.0,0.0,
barbell_2d,2,11,randcart,12,153,154,0.9904,0.9620563035495716,0.978829389788294,0.9703703703703704,0.0608158111572265,2.0,1.0,0.0,
barbell_2d,2,11,oc1,12,37,38,0.985,0.9388004895960832,0.9684343434343434,0.9533871970167804,47.00177454948425,2.0,1.0,0.0,
barbell_2d,2,11,wodt,12,81,82,0.7876,0.8555691554467564,0.4254412659768716,0.5682926829268292,0.5918135643005371,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,13,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0257730484008789,2.0,1.0,0.0,
barbell_2d,2,11,randcart,13,148,149,0.9908,0.9645042839657284,0.9788819875776398,0.9716399506781752,0.059960126876831,2.0,1.0,0.0,
barbell_2d,2,11,oc1,13,41,42,0.9844,0.9314565483476132,0.9719029374201787,0.95125,52.167893171310425,1.0,0.5,0.5,1.0
barbell_2d,2,11,wodt,13,69,70,0.7514,0.8922888616891065,0.3869426751592357,0.5398000740466494,0.5896551609039307,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,14,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.025855541229248,2.0,1.0,0.0,
barbell_2d,2,11,randcart,14,149,150,0.9892,0.9681762545899631,0.9658119658119658,0.9669926650366748,0.0614092350006103,2.0,1.0,0.0,
barbell_2d,2,11,oc1,14,41,42,0.9868,0.9375764993880048,0.9807938540332908,0.9586983729662076,47.29451751708984,2.0,1.0,0.0,
barbell_2d,2,11,wodt,14,86,87,0.8904,0.8947368421052632,0.6127409891031014,0.727363184079602,0.6659610271453857,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,15,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0266332626342773,2.0,1.0,0.0,
barbell_2d,2,11,randcart,15,153,154,0.9916,0.9742962056303548,0.9742962056303548,0.9742962056303548,0.0608618259429931,2.0,1.0,0.0,
barbell_2d,2,11,oc1,15,41,42,0.9868,0.9363525091799264,0.982028241335045,0.9586466165413532,47.18902349472046,2.0,1.0,0.0,
barbell_2d,2,11,wodt,15,85,86,0.8452,0.9363525091799264,0.5144586415601883,0.6640624999999999,0.5559322834014893,2.0,1.0,0.0,
barbell_2d,2,25,hhcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.1444091796875e-05,0.0,0.0,,
barbell_2d,2,25,randcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.049041748046875e-05,0.0,0.0,,
barbell_2d,2,25,oc1,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0005974769592285,0.0,0.0,,
barbell_2d,2,25,wodt,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0009725093841552,0.0,0.0,,
barbell_2d,2,25,hhcart,1,1,2,0.8366,0.0,,,0.0960109233856201,0.0,0.0,,
