shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,alpha,lambda_reg,threshold_value
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,7,0.8911,0.9230267449445532,0.7683953298941081,0.8386427618906505,0.8542195163199728,0.5901744457797711,26,27,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,8,0.911,0.9031311154598826,0.8236168947055325,0.8615432482887369,0.8876153201006434,0.5468275158680982,48,49,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,9,0.9379,0.8812785388127854,0.9131463332206826,0.8969294605809129,0.8997297549156649,0.5450029801318705,69,70,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,10,0.9513,0.8992172211350293,0.9393526405451448,0.9188468588568572,0.9243069907517484,0.5725340037718507,106,107,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,11,0.9572,0.9194390084801044,0.9396666666666668,0.9294427959116388,0.9309578169167207,0.5570227318270315,119,120,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,12,0.9621,0.9253098499673842,0.949782390358219,0.937386419957046,0.9327379803937784,0.5437962103366283,141,142,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,1,0.701,0.0,,,0.4899665551839465,0.4639040499013898,1,2,3,0.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,2,0.764,0.802675585284281,0.5755395683453237,0.670391061452514,0.6463210702341138,0.5308020035935461,3,4,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,3,0.803,0.7792642140468228,0.6401098901098901,0.702865761689291,0.7587195413282373,0.5293629215500388,6,7,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,4,0.837,0.9331103678929766,0.6611374407582938,0.7739251040221914,0.847547380156076,0.6119123431543614,11,12,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,5,0.867,0.7591973244147158,0.7881944444444444,0.7734241908006816,0.8543478260869566,0.6036126639031274,19,20,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,6,0.905,0.8394648829431438,0.8422818791946308,0.8408710217755443,0.8806366047745358,0.645886422905283,28,29,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,7,0.922,0.9565217391304348,0.8148148148148148,0.8800000000000001,0.8749163879598665,0.6271254654736185,34,35,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,8,0.941,0.9364548494983278,0.875,0.9046849757673668,0.8814748348152377,0.6333767589806101,40,41,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,9,0.951,0.9464882943143812,0.8955696202531646,0.9203252032520326,0.8852638045184629,0.6179932879122572,48,49,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,10,0.957,0.9498327759197324,0.9102564102564102,0.9296235679214402,0.8683884553449768,0.6008006842472202,53,54,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,11,0.957,0.9498327759197324,0.9102564102564102,0.9296235679214402,0.8377329192546585,0.5861032107705879,55,56,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,12,0.966,0.9364548494983278,0.9491525423728814,0.9427609427609428,0.824329686525707,0.5743992286446307,58,59,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,1,0.701,0.0,,,0.4331103678929766,0.3590179873602332,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,2,0.82,0.7892976588628763,0.6685552407932012,0.7239263803680982,0.5961538461538463,0.4506056673705076,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,3,0.84,0.842809364548495,0.6904109589041096,0.7590361445783133,0.74247491638796,0.560817081653918,6,7,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,4,0.86,0.882943143812709,0.7154471544715447,0.7904191616766467,0.6886287625418059,0.5525413167571989,9,10,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,5,0.89,0.8461538461538461,0.7981072555205048,0.8214285714285714,0.7498805542283802,0.5770405138853254,13,14,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,6,0.917,0.9264214046822744,0.8195266272189349,0.8697017268445841,0.8291129160694379,0.5986930552767351,20,21,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,7,0.936,0.8561872909698997,0.924187725631769,0.8888888888888888,0.824487421840919,0.6331590654831569,22,23,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,8,0.967,0.919732441471572,0.9683098591549296,0.9433962264150944,0.8484194627252128,0.6326415463566721,30,31,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,9,0.973,0.94314381270903,0.9657534246575342,0.9543147208121828,0.8755681330932168,0.6151337218729089,38,39,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,10,0.967,0.919732441471572,0.9683098591549296,0.9433962264150944,0.855173811695551,0.6002757318824872,32,33,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,11,0.968,0.9230769230769232,0.968421052631579,0.9452054794520548,0.8535522448565926,0.5634642477141565,32,33,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,12,0.97,0.9297658862876256,0.9686411149825784,0.9488054607508534,0.8594304246478162,0.5743698368143575,32,33,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,1,0.701,0.0,,,0.4464882943143813,0.3819714792390267,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,2,0.791,0.9063545150501672,0.5995575221238938,0.7217043941411452,0.6730769230769229,0.5725200211479222,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,3,0.839,0.8996655518394648,0.6725,0.7696709585121603,0.7419175027870679,0.5501193441603767,5,6,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,4,0.86,0.8929765886287625,0.712,0.7922848664688428,0.8324414715719062,0.603879769146096,9,10,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,5,0.881,0.919732441471572,0.7432432432432432,0.8221225710014948,0.8762541806020068,0.5912813757205466,14,15,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,6,0.884,0.94314381270903,0.7401574803149606,0.8294117647058823,0.8388746803069054,0.6343658021313405,16,17,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,7,0.936,0.9230769230769232,0.8706624605678234,0.8961038961038961,0.8479933110367892,0.6497546771115068,19,20,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,8,0.947,0.9297658862876256,0.896774193548387,0.9129720853858784,0.8725083612040134,0.6330027442501165,24,25,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,9,0.954,0.9364548494983278,0.9120521172638436,0.924092409240924,0.8803790412486063,0.5993625082848266,29,30,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,10,0.958,0.9163879598662208,0.9415807560137456,0.9288135593220338,0.8683389074693422,0.6050920224939964,29,30,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,11,0.965,0.9297658862876256,0.952054794520548,0.9407783417935702,0.8813754180602007,0.6308906349413377,31,32,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,12,0.973,0.9364548494983278,0.9722222222222222,0.9540034071550256,0.886373381356659,0.6039791039783993,38,39,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,1,0.701,0.0,,,0.4331103678929766,0.3623990427759496,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,2,0.82,0.7959866220735786,0.6666666666666666,0.725609756097561,0.6112040133779264,0.517349576341037,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,3,0.855,0.8695652173913043,0.7103825136612022,0.7819548872180451,0.7109412326803632,0.5299726319785081,6,7,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,4,0.858,0.8896321070234113,0.7093333333333334,0.7893175074183977,0.7461234417756157,0.5693338446815612,10,11,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,5,0.904,0.8060200668896321,0.8637992831541219,0.8339100346020762,0.7451923076923077,0.5938504900160817,15,16,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,6,0.927,0.8862876254180602,0.8717105263157895,0.87893864013267,0.7505016722408027,0.6034442375937581,24,25,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,7,0.936,0.8695652173913043,0.912280701754386,0.8904109589041095,0.8573449961409827,0.6635279229459539,25,26,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,8,0.964,0.9464882943143812,0.933993399339934,0.9401993355481728,0.8730000903913946,0.5899329357218892,36,37,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,9,0.973,0.9531772575250836,0.9563758389261744,0.9547738693467336,0.8674749163879605,0.5657725548254571,39,40,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,10,0.975,0.9665551839464884,0.950657894736842,0.9585406301824212,0.8491001751871317,0.5485894480085858,41,42,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,11,0.978,0.959866220735786,0.9663299663299664,0.9630872483221478,0.8588774174785514,0.5503400930361764,45,46,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,12,0.982,0.9498327759197324,0.989547038327526,0.969283276450512,0.8539334011923803,0.5458668039293613,45,46,3,3.0,,0.0,0.0
radial_segment_3d,0.003,2000,1,radial_segment_3d_fuzziness_003_2000_samples,3,hhcart_d,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,0.0,,
radial_segment_3d,0.003,2000,1,radial_segment_3d_fuzziness_003_2000_samples,3,hhcart_d,1,0.701,0.0,,,0.4531772575250836,0.3773383850343359,1,2,3,0.0,0.0,,
