dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score,training_time
barbell_2d,2,randcart,4,0.9133333333333333,0.6598360655737705,0.7740384615384616,0.7123893805309734,11,12,2.0,1.0,0.0,,0.0034418106079101562
sine_wave_2d,2,randcart,4,0.9236,0.0,,,10,11,2.0,1.0,0.0,,0.008636951446533203
star_2d,2,randcart,4,0.9102,0.7741935483870968,0.6864988558352403,0.7277137659187387,12,13,2.0,1.0,0.0,,0.005182743072509766
radial_segment_2d,2,randcart,4,0.7916,0.6776913099870299,0.6572327044025157,0.6673052362707536,15,16,2.0,1.0,0.0,,0.010168075561523438
rectangle_2d,2,randcart,4,0.8884,0.6267942583732058,0.8972602739726028,0.7380281690140846,14,15,2.0,1.0,0.0,,0.006405830383300781
barbell_3d,3,randcart,4,0.8685,0.4829787234042553,0.5374901341752171,0.5087784833769144,13,14,3.0,1.0,0.0,,0.009688854217529297
radial_segment_3d,3,randcart,4,0.8007,0.4372150849564857,0.6242603550295858,0.5142578601023641,13,14,3.0,1.0,0.0,,0.019852638244628906
saddle_3d,3,randcart,4,0.8241,0.35490394337714865,0.5924050632911393,0.44388239013594694,14,15,3.0,1.0,0.0,,0.015764713287353516
barbell_2d,2,oc1,4,0.8953333333333333,0.4098360655737705,0.8849557522123894,0.5602240896358543,4,5,2.0,1.0,0.0,,4.059035301208496
sine_wave_2d,2,oc1,4,0.9236,0.0,,,4,5,2.0,1.0,0.0,,27.27833580970764
star_2d,2,oc1,4,0.9462,0.8387096774193549,0.818639798488665,0.82855321861058,4,5,2.0,1.0,0.0,,34.56789803504944
radial_segment_2d,2,oc1,4,0.7682,0.9630350194552529,0.5740239659837649,0.7193024945507386,4,5,2.0,1.0,0.0,,49.27200198173523
rectangle_2d,2,oc1,4,0.9144,0.8381180223285486,0.8236677115987461,0.8308300395256917,6,7,2.0,1.0,0.0,,41.080230474472046
barbell_3d,3,oc1,4,0.8871,0.36312056737588655,0.6890982503364738,0.47561542034370646,6,7,3.0,1.0,0.0,,180.65384149551392
radial_segment_3d,3,oc1,4,0.8433,0.727310401989225,0.6587837837837838,0.6913531613157375,7,8,3.0,1.0,0.0,,193.04420566558838
saddle_3d,3,oc1,4,0.842,0.7138523761375126,0.5820280296784831,0.6412352406902815,5,6,3.0,1.0,0.0,,158.00099277496338
barbell_2d,2,wodt,4,0.8373333333333334,0.0,,,6,7,2.0,1.0,0.0,,0.057737112045288086
sine_wave_2d,2,wodt,4,0.9236,0.0,,,3,4,2.0,1.0,0.0,,0.10964560508728027
star_2d,2,wodt,4,0.7824,0.9419354838709677,0.41173152848279754,0.5729984301412873,6,7,2.0,1.0,0.0,,0.1696643829345703
radial_segment_2d,2,wodt,4,0.6916,0.0,,,7,8,2.0,1.0,0.0,,0.16364622116088867
rectangle_2d,2,wodt,4,0.8332,0.970494417862839,0.6042701092353525,0.7447980416156672,6,7,2.0,1.0,0.0,,0.1266617774963379
barbell_3d,3,wodt,4,0.859,0.0,,,7,8,3.0,1.0,0.0,,0.31978368759155273
radial_segment_3d,3,wodt,4,0.545,0.19229175300455864,0.15138662316476345,0.16940489229645858,7,8,3.0,1.0,0.0,,0.2916107177734375
saddle_3d,3,wodt,4,0.5833,0.6228513650151668,0.2647754137115839,0.37158799577740914,6,7,3.0,1.0,0.0,,0.24154233932495117
barbell_2d,2,hhcart,5,0.8373333333333334,0.0,,,7,8,2.0,1.0,0.0,,0.012633085250854492
sine_wave_2d,2,hhcart,5,0.9236,0.0,,,1,2,0.0,0.0,,,0.0018527507781982422
star_2d,2,hhcart,5,0.845,0.0,,,10,11,2.0,1.0,0.0,,0.016172409057617188
radial_segment_2d,2,hhcart,5,0.7266,0.2600518806744488,0.6395534290271132,0.36975564776394654,16,17,2.0,1.0,0.0,,0.026117801666259766
rectangle_2d,2,hhcart,5,0.7566,0.1850079744816587,0.5433255269320844,0.2760261748958953,14,15,2.0,1.0,0.0,,0.016185522079467773
barbell_3d,3,hhcart,5,0.8653,0.2801418439716312,0.5433287482806052,0.3696771174543753,17,18,3.0,1.0,0.0,,0.04982471466064453
radial_segment_3d,3,hhcart,5,0.7754,0.5267302113551595,0.535157894736842,0.5309106098579782,24,25,3.0,1.0,0.0,,0.05618715286254883
saddle_3d,3,hhcart,5,0.8331,0.6036400404448938,0.5743145743145743,0.5886122750801085,26,27,3.0,1.0,0.0,,0.041286468505859375
barbell_2d,2,randcart,5,0.914,0.610655737704918,0.8142076502732241,0.6978922716627635,22,23,2.0,1.0,0.0,,0.011948347091674805
sine_wave_2d,2,randcart,5,0.929,0.25392670157068065,0.5808383233532934,0.3533697632058288,16,17,2.0,1.0,0.0,,0.0
star_2d,2,randcart,5,0.9372,0.7470967741935484,0.830703012912482,0.7866847826086957,21,22,2.0,1.0,0.0,,0.011296272277832031
radial_segment_2d,2,randcart,5,0.8586,0.8702983138780804,0.725797728501893,0.7915069301091123,26,27,2.0,1.0,0.0,,0.014198780059814453
rectangle_2d,2,randcart,5,0.9318,0.8452950558213717,0.8782104391052196,0.8614384396586754,23,24,2.0,1.0,0.0,,0.010935783386230469
barbell_3d,3,randcart,5,0.8865,0.3148936170212766,0.7243066884176182,0.4389520514087989,22,23,3.0,1.0,0.0,,0.026058673858642578
radial_segment_3d,3,randcart,5,0.8336,0.7501036054703688,0.6304423545802856,0.6850870552611658,27,28,3.0,1.0,0.0,,0.01773858070373535
saddle_3d,3,randcart,5,0.8432,0.47219413549039435,0.6406035665294925,0.5436554132712458,27,28,3.0,1.0,0.0,,0.015877246856689453
barbell_2d,2,oc1,5,0.9,0.4098360655737705,0.9433962264150944,0.5714285714285714,6,7,2.0,1.0,0.0,,4.670217037200928
sine_wave_2d,2,oc1,5,0.9308,0.6099476439790575,0.541860465116279,0.5738916256157635,5,6,2.0,1.0,0.0,,30.87973427772522
star_2d,2,oc1,5,0.951,0.7767741935483871,0.8931750741839762,0.8309178743961352,6,7,2.0,1.0,0.0,,36.873398780822754
radial_segment_2d,2,oc1,5,0.7682,0.9630350194552529,0.5740239659837649,0.7193024945507386,5,6,2.0,1.0,0.0,,51.21034240722656
rectangle_2d,2,oc1,5,0.9404,0.9178628389154705,0.8551263001485884,0.8853846153846154,9,10,2.0,1.0,0.0,,41.63983917236328
barbell_3d,3,oc1,5,0.888,0.3524822695035461,0.7059659090909091,0.47019867549668876,5,6,2.0,0.6666666666666666,0.33333333333333337,2.0,166.7717320919037
radial_segment_3d,3,oc1,5,0.822,0.6552009946125156,0.6251482799525504,0.6398219344394982,11,12,2.0,0.6666666666666666,0.33333333333333337,2.0,156.4607377052307
saddle_3d,3,oc1,5,0.8583,0.7805864509605662,0.6110011871784725,0.6854605993340732,9,10,3.0,1.0,0.0,,139.59398102760315
barbell_2d,2,wodt,5,0.8573333333333333,0.889344262295082,0.5371287128712872,0.6697530864197532,11,12,2.0,1.0,0.0,,0.06256961822509766
sine_wave_2d,2,wodt,5,0.7952,0.2513089005235602,0.11510791366906475,0.15789473684210525,4,5,2.0,1.0,0.0,,0.07715010643005371
star_2d,2,wodt,5,0.845,0.0,,,5,6,2.0,1.0,0.0,,0.13813304901123047
radial_segment_2d,2,wodt,5,0.6728,0.3942931258106355,0.46412213740458014,0.426367461430575,11,12,2.0,1.0,0.0,,0.14352083206176758
rectangle_2d,2,wodt,5,0.8124,0.9976076555023924,0.5722781335773102,0.7273255813953489,5,6,2.0,1.0,0.0,,0.13391327857971191
barbell_3d,3,wodt,5,0.859,0.0,,,8,9,3.0,1.0,0.0,,0.3182344436645508
radial_segment_3d,3,wodt,5,0.5819,0.34562784915043515,0.24272409778812573,0.28517695332535475,13,14,3.0,1.0,0.0,,0.29010796546936035
saddle_3d,3,wodt,5,0.5372,0.34580384226491406,0.17023394723743157,0.22815210140093398,13,14,3.0,1.0,0.0,,0.32358622550964355
barbell_2d,2,hhcart,6,0.8373333333333334,0.0,,,8,9,2.0,1.0,0.0,,0.007648468017578125
sine_wave_2d,2,hhcart,6,0.9236,0.0,,,1,2,0.0,0.0,,,0.0042400360107421875
star_2d,2,hhcart,6,0.845,0.0,,,11,12,2.0,1.0,0.0,,0.016104459762573242
radial_segment_2d,2,hhcart,6,0.7352,0.3521400778210117,0.6255760368663594,0.45062240663900416,21,22,2.0,1.0,0.0,,0.019987106323242188
rectangle_2d,2,hhcart,6,0.7616,0.189792663476874,0.5748792270531401,0.2853717026378897,18,19,2.0,1.0,0.0,,0.02204751968383789
barbell_3d,3,hhcart,6,0.8708,0.36950354609929076,0.5638528138528138,0.4464438731790916,24,25,3.0,1.0,0.0,,0.04673933982849121
radial_segment_3d,3,hhcart,6,0.7787,0.5267302113551595,0.5426985482493595,0.53459516298633,36,37,3.0,1.0,0.0,,0.04556679725646973
saddle_3d,3,hhcart,6,0.8448,0.5556117290192113,0.6202031602708804,0.5861333333333333,38,39,3.0,1.0,0.0,,0.04825592041015625
barbell_2d,2,randcart,6,0.948,0.8114754098360656,0.8608695652173913,0.8354430379746836,33,34,2.0,1.0,0.0,,0.005783557891845703
sine_wave_2d,2,randcart,6,0.9468,0.6178010471204188,0.6629213483146067,0.6395663956639567,25,26,2.0,1.0,0.0,,0.007536649703979492
star_2d,2,randcart,6,0.9506,0.8193548387096774,0.8557951482479784,0.8371786420566909,31,32,2.0,1.0,0.0,,0.009099483489990234
radial_segment_2d,2,randcart,6,0.9046,0.8845654993514915,0.820204449789537,0.851170046801872,50,51,2.0,1.0,0.0,,0.011790037155151367
rectangle_2d,2,randcart,6,0.9462,0.8995215311004785,0.8874901652242329,0.8934653465346535,37,38,2.0,1.0,0.0,,0.010361194610595703
barbell_3d,3,randcart,6,0.9202,0.6085106382978723,0.7771739130434783,0.6825775656324582,37,38,3.0,1.0,0.0,,0.019745349884033203
radial_segment_3d,3,randcart,6,0.8671,0.7053460422710319,0.7336206896551725,0.7192055778575956,53,54,3.0,1.0,0.0,,0.024384260177612305
saddle_3d,3,randcart,6,0.877,0.6835187057633973,0.6912065439672802,0.6873411286222674,47,48,3.0,1.0,0.0,,0.02084493637084961
barbell_2d,2,oc1,6,0.8853333333333333,0.8975409836065574,0.5983606557377049,0.7180327868852459,7,8,2.0,1.0,0.0,,3.679565668106079
sine_wave_2d,2,oc1,6,0.949,0.662303664921466,0.6675461741424802,0.6649145860709593,7,8,2.0,1.0,0.0,,24.717166900634766
star_2d,2,oc1,6,0.96,0.8619354838709677,0.8777923784494087,0.8697916666666667,9,10,2.0,1.0,0.0,,28.03170871734619
radial_segment_2d,2,oc1,6,0.8594,0.7775616083009079,0.7690827453495831,0.7732989358271525,7,8,2.0,1.0,0.0,,44.08976078033447
